feature,score
IDH3G,18.087419493344868
LAPTM5,18.07915151950659
SF3A2,18.075374013956683
MFGE8,18.043060800321
FUBP1,18.03008378071742
FGF21,18.00963663085781
ZNF891,17.999476069736318
TPRA1,17.983355262497895
RP11-357G3.1,17.939932287778667
OGG1,17.931048305537345
HSD17B1,17.91661322657421
CRLF1,17.898604854054692
FBXW5,17.89327849713797
TTBK2,17.89217429286141
SOCS4,17.878527648742924
SSR1,17.867431866221253
ACTR3P2,17.865332380265848
COX4I2,17.86213511376819
IL2RG,17.859127587094275
HIPK3,17.85379464933601
P2RY8,17.848412294515583
KCNH6,17.848026175067456
PSMB3,17.842891199675
CPEB2,17.819211827906898
ZBTB46-AS1,17.798233902983498
STT3A,17.790239182646584
NCR3,17.737678220700452
NADK,17.72437836689115
CCDC148-AS1,17.72017475475134
STBD1,17.715246448532586
LOC101928409,17.709173639708283
PSMC3,17.706692708625006
TAGLN2,17.68925884392311
EZR,17.68879618841526
SLC6A6,17.683530497745373
ZNF780B,17.681635815661064
FFAR2,17.67417717002925
ZNF91,17.641562559233307
PGAM1,17.63907501685365
LOC100505555,17.597016249508968
ELMO1,17.589907565906543
PLB1,17.576118060405175
TUBB3,17.566522959302116
ODF2,17.55227383812581
SMU1,17.538726448301095
CCDC23,17.523357905215022
CDC42EP5,17.509357245742393
RAB1A,17.50334254739091
CALR,17.50028574314263
LCP1,17.496968659229786
DENND3,17.492362346953655
PQLC1,17.468544219388686
CNPY3,17.45339286359512
GAPDH,17.44766184112744
ZNF366,17.42671593547292
SFPQ,17.37840095422322
DEFA1,17.371926208321305
TMCC3,17.358060688637735
KIF23,17.35531790116725
NUDT4,17.35495196138107
CCDC82,17.335992063470407
BCKDK,17.32930701494249
DSTNP2,17.3215336951319
NF2,17.313237411259838
USP6NL,17.30540703117947
BICD2,17.303436930854847
SLC39A8,17.30211691425208
IL23A,17.29041593773608
LOC91450,17.2851901193448
RNF146,17.275308795899708
TCEA2,17.25949707323313
SPCS2,17.25617543400369
ADIPOR1,17.252673345167015
MALL,17.232053381250925
TUBB2A,17.225689082944907
RP11-338I21.1,17.225574786496793
LPXN,17.20831610276712
HELZ,17.202302000728327
WIF1,17.156493733128507
MGAM,17.139637671774732
RP11-999E24.3,17.13701997875639
KRTAP4-7,17.114073631839133
DPT,17.10079728580038
S100P,17.08521606187011
SNAI3,17.06925029826274
FAM198B,17.064199437545295
ANKUB1,17.05870881773527
XPR1,17.055358927296624
ABCA4,17.053793746876842
UROS,17.037867516982185
ANG,17.0261381564321
SAV1,17.02085715491949
LOC101926962,17.017802521704397
LOC101929239,17.012750797306218
PSMD3,16.99387859237675
FLJ31356,16.9903745336049
ATP1B4,16.989756960153535
RP11-102L12.2,16.971742507686347
CSF2RB,16.95712619896202
NCKAP1L,16.94273145457711
CENPB,16.926484721432306
FOLR2,16.856968236858656
PRORY,16.850586737084118
IFITM3,16.84562458593404
EFEMP2,16.841352347074725
FAM110C,16.82884277810506
IPW,16.818839155088675
CLK4,16.81475394828213
ACKR1,16.792288580983055
DDA1,16.78652149816292
IL12B,16.781472700367402
C1QB,16.78000310310556
ZNF471,16.778313006535534
SLC25A6,16.76975076977383
PTEN,16.76456468005081
MAGEA2,16.760547486529816
LINC01242,16.742960227031467
RP11-285A1.1,16.741427779492316
STK38,16.741029373283695
HIF1AN,16.721375011758166
PPP1R16A,16.718417665260823
CTSV,16.71594542803995
H3F3A,16.714695617890726
LGALS9,16.708225499526236
IGHV3-73,16.70338862760827
BANF1,16.701003272357326
MIF4GD,16.691523378326817
SLC25A20,16.690078934343603
SELT,16.68999104334542
PLEKHO1,16.681330935156208
BCL2L12,16.664406133254335
HSP90AB1,16.660604671374134
XCL1,16.66022402127262
RAB5A,16.65748135315651
LAP3,16.65637993033785
PPDPF,16.65495281873008
C5orf17,16.645341227012096
GPR144,16.644845560330722
MYH9,16.64451630609247
RP11-288L9.1,16.63827934599922
RPS29P28,16.634641715761237
CASP10,16.629313994961382
DCUN1D4,16.62835302654533
EID2,16.62539976047241
MFAP4,16.61787654307472
RAMP3,16.602545078111657
RP11-295P9.12,16.598812266174843
PNPLA6,16.597097011139528
LOC101929304,16.581478298553048
DLL1,16.572440038856623
PRDM1,16.56029172348096
SLC6A8,16.53221793433207
ACAD9,16.528180348736704
ILKAP,16.514839219981567
RABEPK,16.50573071456848
ZBTB7A,16.48329121842482
MOB3A,16.47115454038561
MTMR12,16.447961550258018
SOD2,16.435761585300856
STK16,16.427548492235754
INPP4A,16.420860087138195
ITGAM,16.41790809320716
CYHR1,16.414565077977333
C7orf73,16.404106298587497
MPEG1,16.391184754397802
COA1,16.384933623966358
CNTF,16.369627505713066
USE1,16.36947309189163
CD1E,16.352083650956743
EFCAB14,16.348439216095407
RPL9,16.34375905794643
DTD2,16.342257843420683
CLIC4,16.338288525997175
PID1,16.328589057749873
SDCBP,16.32650840435141
POLR2F,16.324220725196778
RBM14,16.321112645442795
NFE2,16.319478141279976
CRIPT,16.31202850269493
ARNT,16.30897764602777
AX748292,16.306459400877895
FIBP,16.299673077499435
NRAS,16.283763862709247
OR51E1,16.280990850528255
HEY1,16.278856065561534
BAZ1B,16.278048656620307
HPGDS,16.27583472688766
SORBS3,16.261917077160085
ZFP36L2,16.252527445259627
RHOA,16.247179499685828
THOC6,16.241506594280885
HCFC1R1,16.240323629308133
RP11-394I13.2,16.232242303517676
KDM1A,16.21880782713404
NRIP2,16.213856720017432
PIK3R3,16.20866969722796
RPL27AP,16.20813742054975
GPR137B,16.198251734384527
FABP3,16.18932558398066
SELL,16.179530096976976
GIMAP6,16.165368173429286
CAPN6,16.14787621379589
CSN1S1,16.144147514998195
OSR1,16.136680923513516
COX6A2,16.133812974520403
COPS7A,16.125881566985385
LOC100128840,16.10334550703938
RP11-305O4.3,16.09292998385271
CSTL1,16.092494977807302
LOC283788,16.08997957252759
GDPD3,16.08518245772932
ACSS3,16.07892601798704
RBX1,16.070726844149714
DRG1,16.0687185905979
CAPZB,16.067450706799793
MIR17HG,16.047258572397407
ARHGEF40,16.0455068499243
PTGES3L,16.04000678433661
CST1,16.036227980430358
GATSL3,16.03385477536473
GPX4,16.02174811571028
C15orf41,16.020071076118434
FAHD2A,15.997644302602533
C15orf59,15.995554020721826
GHITM,15.994134832510523
PITHD1,15.991746870451356
RNF152,15.990602794698711
LOC100129175,15.98909760824059
EIF3G,15.983068354531499
SH3RF2,15.982096382436099
CYBA,15.981866461887078
LINC01093,15.972486944643737
CES3,15.970657373689987
COG3,15.969823552410801
LOC101927124,15.966276613724819
DPH6,15.957721563547022
APLNR,15.952003745957716
OXTR,15.95149763381381
ZNF92,15.951462534536839
LOC100506388,15.946471547930441
GCSAML,15.942121965082073
PYROXD2,15.929050061690647
PTPRE,15.92570451630252
SOX18,15.92395044222838
MRPL4,15.92270509112872
MGLL,15.920279469740167
EGFL7,15.907388629776854
HLA-G,15.904840646106408
RPS2,15.883871866380979
CDKN2D,15.881112598739923
ABCC4,15.879472753490141
UBTF,15.867332800381297
PDK1,15.863930586184814
HADHA,15.847833074141429
FHL1,15.845514988452571
HTRA2,15.843364505994547
DMBX1,15.832944377795027
BCL2L2-PABPN1,15.825356945662406
ZMYND10,15.808501896344781
SCRN3,15.75606167856099
RNASE6,15.748455950233128
LOC440149,15.7442630478827
APOL3,15.743092204212612
WDR48,15.72731447482525
APOD,15.720835037652295
CPA3,15.718691962745059
MRPL38,15.716849163495214
CABIN1,15.698606364677238
PARS2,15.694148269231333
DPPA3,15.678651841170423
RNF41,15.666447272890753
TMOD2,15.66537983938824
NSMAF,15.665300168914781
ARL6,15.656318185489429
EXOC7,15.653386136547649
POLR2I,15.649517262944714
COL20A1,15.634505388991954
PDGFRB,15.633018722887062
CTD-2553C6.1,15.626104929404914
LCA5,15.618282405220397
R3HDM2,15.616369038313177
EIF4E2,15.612687474313788
GPR56,15.601223539460685
NDUFB8,15.574972875859107
CLVS2,15.569202728332254
COL25A1,15.564441537962153
WDR46,15.557989547830669
GATC,15.536493085335117
APAF1,15.53455242767779
EFCC1,15.534330685272629
LHX6,15.534271755768104
COQ10B,15.530944577735696
HNRNPH2,15.525933370388877
RPS5,15.522954302576535
PDE5A,15.520979458999943
TRPT1,15.520196664052014
CRTAP,15.487762690017677
CST7,15.487100881031466
P4HB,15.48341166812986
CCDC115,15.475859558786498
CD276,15.463028153533779
EWSR1,15.461839037885188
AOC1,15.455633537261237
PTPN6,15.437144158814318
ZYX,15.436625122275947
CSPP1,15.433644984571528
KLRC1,15.430387166880276
RNF19B,15.429486370833178
LINC00309,15.425749614693041
APOC1,15.421193705645713
NEU1,15.420570065076209
LINC01140,15.406394411338763
