gene,score
HSP90AB1,16.66060467137499
XCL1,16.66022402127231
RAB5A,16.657481353156086
LAP3,16.65637993033869
PPDPF,16.65495281872856
C5orf17,16.64534122701254
GPR144,16.64484556033201
MYH9,16.6445163060927
RP11-288L9.1,16.63827934599904
RPS29P28,16.634641715762204
CASP10,16.62931399496151
DCUN1D4,16.628353026544673
EID2,16.62539976047047
MFAP4,16.617876543072516
RAMP3,16.60254507811222
RP11-295P9.12,16.598812266175802
PNPLA6,16.597097011138512
LOC101929304,16.581478298554956
DLL1,16.57244003885589
PRDM1,16.560291723482337
SLC6A8,16.532217934333172
ACAD9,16.52818034873628
ILKAP,16.514839219981607
RABEPK,16.505730714568873
ZBTB7A,16.483291218426075
MOB3A,16.47115454038332
MTMR12,16.44796155025685
SOD2,16.435761585301286
STK16,16.427548492235832
INPP4A,16.420860087139896
ITGAM,16.417908093207437
CYHR1,16.41456507797818
C7orf73,16.40410629858783
MPEG1,16.391184754395663
COA1,16.38493362396747
CNTF,16.36962750571342
USE1,16.3694730918923
CD1E,16.35208365095783
EFCAB14,16.348439216095834
RPL9,16.34375905794298
DTD2,16.34225784342063
CLIC4,16.3382885259964
PID1,16.328589057752325
SDCBP,16.326508404356904
POLR2F,16.324220725200572
RBM14,16.321112645442895
NFE2,16.319478141280385
CRIPT,16.312028502694233
ARNT,16.308977646027582
AX748292,16.30645940087762
FIBP,16.29967307749834
NRAS,16.283763862708206
OR51E1,16.280990850527896
HEY1,16.278856065561307
BAZ1B,16.27804865662691
HPGDS,16.27583472688742
SORBS3,16.26191707716058
ZFP36L2,16.252527445259275
RHOA,16.247179499685455
THOC6,16.24150659428066
HCFC1R1,16.24032362931104
RP11-394I13.2,16.232242303519097
KDM1A,16.21880782713824
NRIP2,16.213856720016672
PIK3R3,16.208669697228498
RPL27AP,16.20813742054905
GPR137B,16.198251734380975
FABP3,16.189325583979404
SELL,16.17953009697748
GIMAP6,16.165368173427243
CAPN6,16.147876213795968
CSN1S1,16.144147514997872
OSR1,16.136680923513826
COX6A2,16.133812974521405
COPS7A,16.125881566990586
LOC100128840,16.103345507038647
RP11-305O4.3,16.092929983853743
CSTL1,16.092494977807217
LOC283788,16.089979572528158
GDPD3,16.08518245772952
ACSS3,16.078926017987786
RBX1,16.070726844153135
DRG1,16.068718590599197
CAPZB,16.067450706796006
MIR17HG,16.047258572397848
ARHGEF40,16.045506849919377
PTGES3L,16.040006784335027
CST1,16.036227980429803
GATSL3,16.033854775365867
GPX4,16.021748115705048
C15orf41,16.02007107611765
FAHD2A,15.997644302601172
C15orf59,15.99555402072048
GHITM,15.994134832512367
PITHD1,15.991746870451204
RNF152,15.990602794699244
LOC100129175,15.989097608240423
EIF3G,15.983068354532872
SH3RF2,15.982096382438177
CYBA,15.981866461887295
LINC01093,15.972486944643721
CES3,15.970657373689196
COG3,15.969823552410753
LOC101927124,15.966276613725197
DPH6,15.957721563546615
APLNR,15.952003745957935
OXTR,15.95149763381293
ZNF92,15.95146253453652
LOC100506388,15.946471547933143
GCSAML,15.942121965082567
PYROXD2,15.9290500616925
PTPRE,15.925704516302279
SOX18,15.923950442230193
MRPL4,15.922705091129613
MGLL,15.920279469740507
EGFL7,15.9073886297799
HLA-G,15.904840646097963
RPS2,15.883871866370022
CDKN2D,15.88111259874071
ABCC4,15.879472753490543
UBTF,15.86733280038118
PDK1,15.863930586182915
HADHA,15.84783307414093
FHL1,15.845514988452774
HTRA2,15.843364505998906
DMBX1,15.832944377794615
BCL2L2-PABPN1,15.82535694566378
ZMYND10,15.808501896344621
SCRN3,15.756061678560787
RNASE6,15.748455950231097
LOC440149,15.744263047882605
APOL3,15.743092204212035
WDR48,15.727314474829193
APOD,15.720835037651888
CPA3,15.71869196274567
MRPL38,15.716849163494674
CABIN1,15.698606364673378
PARS2,15.694148269230546
DPPA3,15.678651841169629
RNF41,15.666447272889306
TMOD2,15.665379839387988
NSMAF,15.665300168914756
ARL6,15.656318185489036
EXOC7,15.653386136549633
POLR2I,15.649517262945162
COL20A1,15.634505388992483
PDGFRB,15.633018722886455
CTD-2553C6.1,15.626104929403654
LCA5,15.618282405220254
R3HDM2,15.61636903831429
EIF4E2,15.61268747431552
GPR56,15.60122353946138
NDUFB8,15.574972875855135
CLVS2,15.569202728332733
COL25A1,15.56444153796185
WDR46,15.557989547831964
GATC,15.536493085335572
APAF1,15.534552427678248
EFCC1,15.534330685273856
LHX6,15.53427175576602
COQ10B,15.530944577735685
HNRNPH2,15.525933370388513
RPS5,15.52295430257348
PDE5A,15.52097945899965
TRPT1,15.520196664043281
CRTAP,15.48776269001759
CST7,15.487100881028926
P4HB,15.48341166812901
CCDC115,15.475859558780359
CD276,15.463028153532509
EWSR1,15.46183903788529
AOC1,15.455633537261326
PTPN6,15.437144158815716
ZYX,15.436625122278302
CSPP1,15.433644984571787
KLRC1,15.430387166880829
RNF19B,15.429486370833644
LINC00309,15.42574961469278
APOC1,15.421193705645402
NEU1,15.420570065079492
LINC01140,15.406394411340207
HAVCR2,15.405256968375962
MAGEB6,15.398478181206476
ID1,15.398138075932998
ABCA12,15.390628331239988
MPV17L2,15.389670249877376
RFXANK,15.376806022071415
CASC3,15.36994135864866
CMA1,15.366518894599377
LOC729652,15.35566123773468
FTL,15.354981927568025
OSTF1,15.34757995302372
TAB3,15.345764250160208
LZTS2,15.342813018812727
SIN3A,15.342080709296676
SH3BGRL,15.341580451807816
TXNIP,15.338268398022624
DPYSL4,15.335368526589829
STOML2,15.335056571175878
SNRPF,15.315273173043161
TCR-alpha,15.308444168517243
BPGM,15.30395936313219
FDX1L,15.302993665486515
ARL6IP4,15.299966027846288
HMGN2,15.29236603507415
TMEM189,15.278967511760163
MFSD4,15.278621850509145
PVRL4,15.263335323909931
STX7,15.248592740979554
CDS2,15.24383149728859
PROKR2,15.23513891650165
THPO,15.234761274657899
USO1,15.230142925914707
GOLGA7,15.229240251670833
KIAA1324L,15.220580544885516
KIR3DL1,15.211842582366131
AP3S1,15.209842428831156
C16orf54,15.206823533804428
C8orf66,15.205633743587605
AKIP1,15.199772011716783
HLA-J,15.194261507643862
GNB2L1,15.192613957559791
APIP,15.183132974281767
TRMT5,15.180503120115977
AMZ1,15.180171344187151
THRAP3,15.174294258588022
PSMB10,15.1723347000245
RCAN1,15.168818068877693
IPO9-AS1,15.166555246709322
GLIPR2,15.16494675569948
CXCL12,15.161617072670044
PPP1CA,15.160069319539547
C3orf36,15.15825475330498
PI4KA,15.152518836573046
CDC14C,15.147316818176542
